qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-c2f7da3,mp-10798,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-7094,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-680722,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-31107,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1095378,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-23569,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-30003,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1190864,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-23084,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-15511,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-7128,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-28855,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-561561,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1079364,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-542115,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-31232,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1091363,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-558910,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-14037,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-29698,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1095283,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-20805,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-16834,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-556120,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-20727,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-14368,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1819,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-22467,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-15750,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-554435,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-1105700,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-680219,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-17637,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-23446,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-17677,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-230,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-31069,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-624234,lower,higher,2(low),yes,yes,yes
qmof-5a2471d,mp-10798,higher,higher,2,yes,yes,yes
qmof-5a2471d,mp-7094,higher,higher,2,yes,yes,yes
