material_id,predict_Band_gap_HSE
mp-18771,2.823291194
mp-19894,2.795173392
mp-20078,1.942400194
mp-25465,2.244229228
mp-27042,2.889693119
mp-504882,2.584029856
mp-540934,1.734731233
mp-554219,2.858467444
mp-556434,1.981660767
mp-556925,2.563487344
mp-557830,2.124092869
mp-559897,2.101704944
mp-559970,2.436748442
mp-567228,2.937087186
mp-568062,2.206508135
mp-643004,2.724111211
mp-667327,2.950535239
mp-677002,1.996797256
mp-698668,2.709407164
mp-7089,1.898222356
mp-743607,2.858791089
mp-753258,2.131184606
mp-753631,2.810164858
mp-754775,1.909118483
mp-756740,2.606787997
mp-756856,2.20824465
mp-757842,2.522598217
mp-759195,1.946619982
mp-761568,1.996155922
mp-763318,2.033050811
mp-774319,2.875231564
mp-776478,2.378974236
mp-776597,2.274061569
mp-779088,2.378511181
mp-866688,2.297789286
mp-868572,2.593606181
mp-9753,2.301623539
mvc-3616,1.794817447
mp-1001023,2.642089369
mp-1025502,2.103436303
mp-1036130,2.711587892
mp-1076509,1.777749911
mp-1100346,1.970693367
mp-1111047,2.788451194
mp-1112783,1.712964558
mp-1112923,1.880014831
mp-1175454,1.783817375
mp-1175988,1.797933236
mp-1177479,2.35885925
mp-1189013,2.083248458
mp-1195576,2.335094711
mp-1200698,2.132838783
mp-1209109,2.743093503
mp-1209819,1.783117161
mp-1214033,2.209512372
mp-1222544,2.184250719
mp-1225838,1.713372025
mp-1275037,2.127941544
mp-1307365,2.605519828
mp-18805,1.731519617
mp-22296,2.935592131
mp-27288,2.957616597
mp-28918,2.080240614
mp-29361,2.929306836
mp-29460,2.665902561
mp-504414,2.801726061
mp-555594,2.934622983
mp-557672,2.760514828
mp-562735,2.260911736
mp-568024,2.547277233
mp-568523,1.817296294
mp-570136,2.355347428
mp-636654,2.843907214
mp-6571,1.955504472
mp-673650,2.592992464
mp-674464,1.740270689
mp-705416,1.735924083
mp-753928,2.734686219
mp-754183,2.878782978
mp-754790,2.750171233
mp-755345,2.488556606
mp-758768,2.416651786
mp-759585,2.789578675
mp-759697,1.759599589
mp-760164,2.879937531
mp-760329,2.687517367
mp-766229,2.742055458
mp-768549,2.112278517
mp-770152,1.704026869
mp-776201,2.111120389
mp-776433,2.402111614
mp-778147,1.965002442
mp-779269,2.697947636
mp-849275,2.055820736
mp-849954,2.076115072
mp-8994,2.267740667
mp-976955,2.232524972
mvc-1868,2.923799053
mvc-3121,2.96909875
mvc-3738,2.168199006
mvc-588,2.058478728
mvc-9695,2.003082222
mvc-9860,2.761836333
mp-1008559,1.860684828
mp-1068583,1.751021764
mp-1076205,1.792864922
mp-1076545,1.703354075
mp-10780,2.896566994
mp-1094123,1.767805856
mp-1105496,1.913754222
mp-11605,1.779140603
mp-1176615,2.856037692
mp-1179212,2.835410756
mp-1193130,1.793901144
mp-1194653,2.305785433
mp-1198531,1.893950089
mp-1203093,2.039583292
mp-1216023,2.242827208
mp-1219056,2.395697719
mp-1223690,2.089831089
mp-1227389,2.611741714
mp-1227483,2.035793881
mp-1228101,2.031411492
mp-1246824,2.237821603
mp-1285,1.989498525
mp-1308065,1.842989483
mp-1571236,2.165832283
mp-1651001,1.801156569
mp-1663705,2.389565322
mp-23329,2.955125336
mp-25839,1.706952911
mp-26415,2.733128547
mp-4701,2.298362061
mp-4971,2.298402014
mp-504838,2.900579728
mp-530107,1.782990125
mp-554303,2.797229944
mp-556443,2.333190825
mp-627119,1.710646253
mp-642655,2.314526736
mp-697523,2.195409131
mp-715517,1.868930072
mp-752701,1.984929916
mp-753588,2.377053808
mp-753935,1.727683053
mp-755254,2.179934067
mp-756368,2.942005047
mp-756412,2.649055161
mp-756497,2.656506825
mp-756853,1.980922858
mp-758411,2.429593481
mp-760941,1.931639014
mp-761602,2.104872636
mp-763182,2.240029192
mp-764535,2.694302925
mp-766467,2.163227731
mp-771258,1.729987228
mp-772609,2.910768911
mp-774106,2.854005733
mp-774622,1.756833414
mp-779257,2.390607819
mp-779361,2.527799725
mp-779602,1.823063292
mp-849612,2.605292717
