qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-2bf3de2,mp-28845,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-561423,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-14276,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-29590,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-556442,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-27980,higher,higher,2,yes,yes,yes
qmof-ef79893,mp-3414,higher,higher,2,yes,,
qmof-ef79893,mp-542001,higher,higher,2,yes,,
qmof-ef79893,mp-28845,higher,higher,2,yes,,
qmof-ef79893,mp-561423,higher,higher,2,yes,,
qmof-ef79893,mp-14276,higher,higher,2,yes,,
qmof-ef79893,mp-29590,higher,higher,2,yes,,
qmof-ef79893,mp-556442,higher,higher,2,yes,,
qmof-ef79893,mp-27980,higher,higher,2,yes,,
qmof-b6953dc,mp-3414,higher,higher,2,yes,,
qmof-b6953dc,mp-542001,higher,higher,2,yes,,
qmof-b6953dc,mp-28845,higher,higher,2,yes,,
qmof-b6953dc,mp-561423,higher,higher,2,yes,,
qmof-b6953dc,mp-14276,higher,higher,2,yes,,
qmof-b6953dc,mp-29590,higher,higher,2,yes,,
qmof-b6953dc,mp-556442,higher,higher,2,yes,,
qmof-b6953dc,mp-27980,higher,higher,2,yes,,
qmof-2095c92,mp-3414,higher,higher,2,yes,,
qmof-2095c92,mp-542001,higher,higher,2,yes,,
qmof-2095c92,mp-28845,higher,higher,2,yes,,
qmof-2095c92,mp-561423,higher,higher,2,yes,,
qmof-2095c92,mp-14276,higher,higher,2,yes,,
qmof-2095c92,mp-29590,higher,higher,2,yes,,
qmof-2095c92,mp-556442,higher,higher,2,yes,,
qmof-2095c92,mp-27980,higher,higher,2,yes,,
qmof-81886cf,mp-3414,higher,lower,1,yes,,
qmof-81886cf,mp-542001,lower,lower,2(low),yes,,
qmof-81886cf,mp-28845,higher,lower,1,yes,,
qmof-81886cf,mp-561423,higher,higher,2,yes,,
qmof-81886cf,mp-14276,higher,lower,1,yes,,
qmof-81886cf,mp-29590,higher,lower,1,yes,,
qmof-81886cf,mp-556442,higher,lower,1,yes,,
qmof-81886cf,mp-27980,higher,higher,2,yes,,
qmof-14a36ed,mp-3414,higher,higher,2,yes,,
qmof-14a36ed,mp-542001,higher,higher,2,yes,,
qmof-14a36ed,mp-28845,higher,higher,2,yes,,
qmof-14a36ed,mp-561423,higher,higher,2,yes,,
qmof-14a36ed,mp-14276,higher,higher,2,yes,,
qmof-14a36ed,mp-29590,higher,higher,2,yes,,
qmof-14a36ed,mp-556442,higher,higher,2,yes,,
qmof-14a36ed,mp-27980,higher,higher,2,yes,,
qmof-e2af422,mp-3414,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-542001,lower,higher,2(low),yes,yes,yes
qmof-e2af422,mp-28845,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-561423,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-14276,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-29590,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-556442,higher,higher,2,yes,yes,yes
qmof-e2af422,mp-27980,higher,higher,2,yes,yes,yes
qmof-28498f0,mp-3414,higher,higher,2,yes,,
qmof-28498f0,mp-542001,higher,higher,2,yes,,
qmof-28498f0,mp-28845,higher,higher,2,yes,,
qmof-28498f0,mp-561423,higher,higher,2,yes,,
qmof-28498f0,mp-14276,higher,higher,2,yes,,
qmof-28498f0,mp-29590,higher,higher,2,yes,,
qmof-28498f0,mp-556442,higher,higher,2,yes,,
qmof-28498f0,mp-27980,higher,higher,2,yes,,
qmof-47c6a17,mp-3414,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-542001,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-28845,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-561423,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-14276,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-29590,higher,higher,2,yes,yes,yes
qmof-47c6a17,mp-556442,higher,higher,2,yes,yes,yes
